Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
824.58171	824.5800	.0017	PG O-40:7	C46H79O9P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PG O-40:7
665.44297	665.4388	.0042	PG 28:1	C34H65O10P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PG 28:1
665.44297	665.4517	.0087	PA O-33:3	C36H67O7PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PA O-33:3
665.44297	665.4493	.0063	PA O-31:0	C34H69O7PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PA O-31:0
637.59492	637.5918	.0031	CE 17:1	C44H76O2	[M+H]+	/resources/tools/chemdb_ontology?abbrev=CE 17:1
637.59492	637.5870	.0079	FA 40:0	C40H80O2Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=FA 40:0
637.59492	637.5870	.0079	WE 40:0	C40H80O2Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=WE 40:0
808.48577	808.4888	.0030	PE 40:9	C45H72NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 40:9
808.48577	808.4864	.0006	PC 35:6	C43H74NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 35:6
808.48577	808.4864	.0006	PE 38:6	C43H74NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 38:6
808.48577	808.4864	.0006	PE O-38:7;O	C43H74NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:7;O
814.60539	814.5956	.0097	PS 39:1	C45H86NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 39:1
814.60539	814.6143	.0089	HexCer 39:1;O2	C45H87NO8Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=HexCer 39:1;O2
605.61593	605.6231	.0072	WE 41:1	C41H80O2	[M+H]+	/resources/tools/chemdb_ontology?abbrev=WE 41:1
766.5289	766.5381	.0092	PC 35:5	C43H76NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 35:5
766.5289	766.5381	.0092	PE 38:5	C43H76NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 38:5
766.5289	766.5381	.0092	PE O-38:6;O	C43H76NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE O-38:6;O
766.5289	766.5381	.0092	PE 38:4;O	C43H78NO9P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PE 38:4;O
766.5289	766.5357	.0068	PC 33:2	C41H78NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 33:2
766.5289	766.5357	.0068	PE 36:2	C41H78NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 36:2
766.5289	766.5381	.0092	PA 40:6	C43H73O8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PA 40:6
766.5289	766.5325	.0036	CL 78:9	C87H152O17P2	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=CL 78:9
766.5289	766.5301	.0012	CL 74:3	C83H156O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 74:3
850.58714	850.5956	.0085	PS O-42:6	C48H84NO9P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PS O-42:6
850.58714	850.5956	.0085	PS 42:4	C48H86NO10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PS 42:4
850.58714	850.5932	.0061	PS O-40:3	C46H86NO9PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PS O-40:3
850.58714	850.5804	.0068	PI O-35:3	C44H81O12P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PI O-35:3
850.58714	850.5908	.0037	PS O-38:0	C44H88NO9PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PS O-38:0
601.51806	601.5190	.0010	DG 36:3	C39H70O5	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=DG 36:3
825.61516	825.6116	.0035	PC 38:5	C46H82NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PC 38:5
825.61516	825.6116	.0035	PE 41:5	C46H82NO8P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PE 41:5
723.53927	723.5323	.0070	PA 39:3	C42H77O8P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PA 39:3
723.53927	723.5411	.0019	CerPE 37:2;O2	C39H77N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=CerPE 37:2;O2
723.53927	723.5411	.0019	SM 34:2;O2	C39H77N2O6PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=SM 34:2;O2
723.53927	723.5299	.0094	PA O-37:2	C40H77O7PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PA O-37:2
763.50676	763.5120	.0052	PI O-31:1	C40H77O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI O-31:1
763.50676	763.5090	.0023	CL 78:12	C87H146O17P2	[M+2H]2+	/resources/tools/chemdb_ontology?abbrev=CL 78:12
763.50676	763.5066	.0001	CL 74:6	C83H150O17P2Na2	[M+2Na]2+	/resources/tools/chemdb_ontology?abbrev=CL 74:6
831.58391	831.5746	.0093	PI O-36:2	C45H85O12P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PI O-36:2
831.58391	831.5874	.0035	PA 44:4	C47H85O8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PA 44:4
831.58391	831.5858	.0019	PS 38:3	C44H80NO10P	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=PS 38:3
831.58391	831.5850	.0011	PA 42:1	C45H87O8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PA 42:1
602.52132	602.5119	.0094	Cer 36:2;O3	C36H69NO4Na	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O3
870.59638	870.5983	.0019	PC 41:6	C49H86NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 41:6
870.59638	870.5983	.0019	PE 44:6	C49H86NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 44:6
870.59638	870.5878	.0085	TG 51:14;O2	C54H76O8	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=TG 51:14;O2
870.59638	870.5959	.0005	PC 39:3	C47H88NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 39:3
870.59638	870.5959	.0005	PE 42:3	C47H88NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 42:3
701.55807	701.5592	.0011	CerPE 37:2;O2	C39H77N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=CerPE 37:2;O2
701.55807	701.5592	.0011	SM 34:2;O2	C39H77N2O6P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=SM 34:2;O2
701.55807	701.5592	.0011	CerPE 37:1;O3	C39H79N2O7P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=CerPE 37:1;O3
701.55807	701.5503	.0077	DG 44:9	C47H74O5	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=DG 44:9
701.55807	701.5674	.0094	HexCer 33:2;O2	C39H73NO8	[M+NH4]+	/resources/tools/chemdb_ontology?abbrev=HexCer 33:2;O2
848.61513	848.6164	.0012	PC 41:6	C49H86NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PC 41:6
848.61513	848.6164	.0012	PE 44:6	C49H86NO8P	[M+H]+	/resources/tools/chemdb_ontology?abbrev=PE 44:6
848.61513	848.6140	.0012	PC 39:3	C47H88NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PC 39:3
848.61513	848.6140	.0012	PE 42:3	C47H88NO8PNa	[M+Na]+	/resources/tools/chemdb_ontology?abbrev=PE 42:3
848.61513	848.6116	.0036	PC 37:0	C45H90NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PC 37:0
848.61513	848.6116	.0036	PE 40:0	C45H90NO8PNa2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=PE 40:0
848.61513	848.6198	.0047	HexCer 39:0;O4	C45H89NO10Na2	[M+2Na-H]+	/resources/tools/chemdb_ontology?abbrev=HexCer 39:0;O4
827.61031	827.6160	.0057	PG 41:2	C47H89O10P	[M+H-H2O]+	/resources/tools/chemdb_ontology?abbrev=PG 41:2
