Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
667.52991	667.5307	.0008	DG 40:6	C43H72O5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=DG 40:6
239.05949	239.0692	.0097	FA 9:1;O3	C9H16O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 9:1;O3
239.05949	239.0561	.0034	FA 10:5;O2	C10H10O4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 10:5;O2
884.59882	884.5942	.0047	PC 41:5	C49H88NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PC 41:5
884.59882	884.5942	.0047	PE 44:5	C49H88NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PE 44:5
884.59882	884.6022	.0034	PC 38:4;O	C46H84NO9P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PC 38:4;O
884.59882	884.6022	.0034	PS O-40:4	C46H84NO9P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PS O-40:4
817.61511	817.6119	.0033	TG 47:5	C50H86O6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=TG 47:5
817.61511	817.6076	.0075	CerPE 40:2;O3	C42H83N2O7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CerPE 40:2;O3
817.61511	817.6197	.0046	PS O-39:1	C45H88NO9P	Neutral	/resources/tools/chemdb_ontology?abbrev=PS O-39:1
596.52559	596.5260	.0004	Cer 36:1;O4	C36H71NO5	[M-H]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:1;O4
596.52559	596.5260	.0004	Cer 35:1;O2	C35H69NO3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 35:1;O2
596.52559	596.5260	.0004	Cer 34:1;O2	C34H67NO3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 34:1;O2
715.56624	715.5647	.0015	PA O-38:1	C41H81O7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PA O-38:1
715.56624	715.5760	.0097	CerPE 38:1;O2	C40H81N2O6P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CerPE 38:1;O2
715.56624	715.5649	.0013	TG 39:0	C42H80O6	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=TG 39:0
715.56624	715.5671	.0009	CE 20:5	C47H74O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CE 20:5
715.56624	715.5760	.0097	SM 36:1;O2	C41H83N2O6P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=SM 36:1;O2
715.56624	715.5598	.0064	HexCer 34:1;O3	C40H77NO9	Neutral	/resources/tools/chemdb_ontology?abbrev=HexCer 34:1;O3
503.41035	503.4106	.0002	FAHFA 32:3;O	C32H56O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FAHFA 32:3;O
503.41035	503.4106	.0002	FA 30:4	C30H52O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 30:4
503.41035	503.4106	.0002	ST 30:1;O2	C30H52O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 30:1;O2
503.41035	503.4008	.0095	NAT 26:0	C28H57NO4S	Neutral	/resources/tools/chemdb_ontology?abbrev=NAT 26:0
598.51479	598.5052	.0096	Cer 34:1;O3	C34H67NO4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 34:1;O3
598.51479	598.5052	.0096	CAR 26:0	C33H65NO4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=CAR 26:0
781.54697	781.5389	.0081	PG O-38:5	C44H79O9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PG O-38:5
781.54697	781.5520	.0050	PA 39:0	C42H83O8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PA 39:0
781.54697	781.5389	.0081	PA O-40:5	C43H77O7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PA O-40:5
781.54697	781.5469	.0001	IPC 34:0;O2	C40H80NO11P	Neutral	/resources/tools/chemdb_ontology?abbrev=IPC 34:0;O2
597.52911	597.5383	.0092	WE 38:1	C38H74O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 38:1
597.52911	597.5332	.0041	Cer 36:1;O4	C36H71NO5	Neutral	/resources/tools/chemdb_ontology?abbrev=Cer 36:1;O4
713.55989	713.5603	.0004	CerPE 38:2;O2	C40H79N2O6P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=CerPE 38:2;O2
713.55989	713.5603	.0004	SM 36:2;O2	C41H81N2O6P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=SM 36:2;O2
714.56317	714.5676	.0044	CerPE 38:2;O2	C40H79N2O6P	Neutral	/resources/tools/chemdb_ontology?abbrev=CerPE 38:2;O2
714.56317	714.5563	.0068	PA O-38:2	C41H79O7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PA O-38:2
504.41371	504.4179	.0042	FAHFA 32:3;O	C32H56O4	Neutral	/resources/tools/chemdb_ontology?abbrev=FAHFA 32:3;O
729.61928	729.6169	.0023	DG 41:0	C44H86O5	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=DG 41:0
729.61928	729.6119	.0074	HexCer 36:0;O2	C42H83NO8	Neutral	/resources/tools/chemdb_ontology?abbrev=HexCer 36:0;O2
888.53391	888.5316	.0023	PC 42:10	C50H80NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PC 42:10
774.56463	774.5655	.0008	PS O-36:1	C42H82NO9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS O-36:1
774.56463	774.5656	.0010	HexCer 37:2;O2	C43H81NO8	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=HexCer 37:2;O2
774.56463	774.5655	.0008	PC O-33:2	C41H80NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PC O-33:2
774.56463	774.5655	.0008	PE O-36:2	C41H80NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PE O-36:2
774.56463	774.5655	.0008	PC O-32:2	C40H78NO7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PC O-32:2
774.56463	774.5655	.0008	PE O-35:2	C40H78NO7P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PE O-35:2
774.56463	774.5737	.0091	HexCer 34:1;O3	C40H77NO9	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=HexCer 34:1;O3
821.54997	821.5549	.0050	PI O-34:1	C43H83O12P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PI O-34:1
821.54997	821.5469	.0031	PG O-38:3	C44H83O9P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PG O-38:3
821.54997	821.5549	.0050	PG 36:1	C42H81O10P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PG 36:1
821.54997	821.5421	.0079	MGDG 36:5	C45H76O10	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=MGDG 36:5
821.54997	821.5549	.0050	PG 35:1	C41H79O10P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PG 35:1
821.54997	821.5571	.0071	PS O-40:6	C46H80NO9P	Neutral	/resources/tools/chemdb_ontology?abbrev=PS O-40:6
858.5834	858.5785	.0049	PC 39:4	C47H86NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PC 39:4
858.5834	858.5785	.0049	PE 42:4	C47H86NO8P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PE 42:4
858.5834	858.5866	.0032	PS O-38:3	C44H82NO9P	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=PS O-38:3
753.56295	753.5683	.0053	SM 35:0;O2	C40H83N2O6P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SM 35:0;O2
753.56295	753.5571	.0059	PA O-38:0	C41H83O7P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=PA O-38:0
753.56295	753.5675	.0045	DG 42:7	C45H74O5	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=DG 42:7
753.56295	753.5672	.0043	PC O-35:4	C43H80NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PC O-35:4
753.56295	753.5672	.0043	PE O-38:4	C43H80NO7P	Neutral	/resources/tools/chemdb_ontology?abbrev=PE O-38:4
754.56586	754.5756	.0098	PE O-38:3	C43H82NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PE O-38:3
754.56586	754.5756	.0098	PC O-36:3	C44H84NO7P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=PC O-36:3
754.56586	754.5595	.0064	MGDG 34:2	C43H78O10	Neutral	/resources/tools/chemdb_ontology?abbrev=MGDG 34:2
608.52586	608.5260	.0001	Cer 36:2;O2	C36H69NO3	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=Cer 36:2;O2
608.52586	608.5260	.0001	Cer 35:2;O2	C35H67NO3	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=Cer 35:2;O2
820.54676	820.5498	.0030	PS O-40:6	C46H80NO9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS O-40:6
820.54676	820.5498	.0030	PE O-40:7	C45H78NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PE O-40:7
820.54676	820.5466	.0002	PI O-34:2	C43H81O12P	Neutral	/resources/tools/chemdb_ontology?abbrev=PI O-34:2
752.5596	752.5600	.0004	PE O-38:4	C43H80NO7P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PE O-38:4
752.5596	752.5682	.0086	HexCer 37:3;O3	C43H79NO9	[M-H]-	/resources/tools/chemdb_ontology?abbrev=HexCer 37:3;O3
752.5596	752.5600	.0004	PC O-36:4	C44H82NO7P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=PC O-36:4
800.61551	800.6175	.0020	PE 40:1	C45H88NO8P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PE 40:1
800.61551	800.6175	.0020	CerP 44:2;O2	C44H86NO6P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=CerP 44:2;O2
800.61551	800.6175	.0020	PC 38:1	C46H90NO8P	[M-CH3]-	/resources/tools/chemdb_ontology?abbrev=PC 38:1
790.5964	790.5968	.0004	PS O-37:0	C43H86NO9P	[M-H]-	/resources/tools/chemdb_ontology?abbrev=PS O-37:0
790.5964	790.5969	.0005	HexCer 38:1;O2	C44H85NO8	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=HexCer 38:1;O2
790.5964	790.5887	.0077	CerP 44:2;O2	C44H86NO6P	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=CerP 44:2;O2
790.5964	790.5968	.0004	PC O-34:1	C42H84NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PC O-34:1
790.5964	790.5968	.0004	PE O-37:1	C42H84NO7P	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=PE O-37:1
